"Id","Shortcut","Name","Election"
0,"Bundestag","Bundestag","Bundestagswahl"
2,"Bayern","Bayerischer Landtag","Landtagswahl in Bayern"
16,"Thüringen","Thüringischer Landtag","Landtagswahl in Thüringen"
13,"Sachsen","Sächsischer Landtag","Landtagswahl in Sachsen"
14,"Sachsen-Anhalt","Landtag von Sachsen-Anhalt","Landtagswahl in Sachsen-Anhalt"
11,"Rheinland-Pfalz","Landtag von Rheinland-Pfalz","Landtagswahl in Rheinland-Pfalz"
7,"Hessen","Hessischer Landtag","Landtagswahl in Hessen"
5,"Bremen","Bremische Bürgerschaft","Bürgerschaftswahl in Bremen"
10,"Nordrhein-Westfalen (NRW)","Landtag von Nordrhein-Westfalen","Landtagswahl in Nordrhein-Westfalen (NRW)"
15,"Schleswig-Holstein","Landtag von Schleswig-Holstein","Landtagswahl in Schleswig-Holstein"
4,"Brandenburg","Brandenburgischer Landtag","Landtagswahl in Brandenburg"
8,"Mecklenburg-Vorpommern","Landtag von Mecklenburg-Vorpommern","Landtagswahl in Mecklenburg-Vorpommern"
3,"Berlin","Berliner Abgeordnetenhaus","Abgeordnetenhauswahl in Berlin"
1,"Baden-Württemberg","Landtag von Baden-Württemberg","Landtagswahl in Baden-Württemberg"
12,"Saarland","Saarländischer Landtag","Landtagswahl im Saarland"
9,"Niedersachsen","Niedersächsischer Landtag","Landtagswahl in Niedersachsen"
17,"Europäisches Parlament","Europäisches Parlament","Europawahl"
6,"Hamburg","Hamburgische Bürgerschaft","Bürgerschaftswahl in Hamburg"
